Model,Sentence,Target,Sentiment,published_time
TSC," Musicians perform during a Mid-Autumn Festival themed event at the China Cultural Center in Tel Aviv, Israel, Sept. 27, 2023.",Israel,neutral,2023-09-29
TSC," Musicians perform during a Mid-Autumn Festival themed event at the China Cultural Center in Tel Aviv, Israel, Sept. 27, 2023.",US,neutral,2023-09-29
TSC," Musicians perform during a Mid-Autumn Festival themed event at the China Cultural Center in Tel Aviv, Israel, Sept. 27, 2023.",China,neutral,2023-09-29
TSC,Various celebrations are held across the world with the approaching of Mid-Autumn Festival.,US,neutral,2023-09-29
TSC,"(Xinhua/Chen Junqing) Actors perform at a gala celebrating the Mid-Autumn Festival in Hanoi, Vietnam, Sept. 20, 2023.",UN,neutral,2023-09-29
TSC,Various celebrations are held across the world with the approaching of Mid-Autumn Festival.,US,neutral,2023-09-29
TSC,"(Xinhua/Hu Jiali) People taste mooncakes during a Mid-Autumn Festival themed event at the China Cultural Center in Tel Aviv, Israel, Sept. 27, 2023.",Israel,neutral,2023-09-29
TSC,"(Xinhua/Hu Jiali) People taste mooncakes during a Mid-Autumn Festival themed event at the China Cultural Center in Tel Aviv, Israel, Sept. 27, 2023.",China,neutral,2023-09-29
TSC,Various celebrations are held across the world with the approaching of Mid-Autumn Festival.,US,neutral,2023-09-29
TSC,(Xinhua/Chen Junqing) ,UN,neutral,2023-09-29
TSC,"A woman takes photos of mooncakes during a Mid-Autumn Festival themed event at the China Cultural Center in Tel Aviv, Israel, Sept. 27, 2023.",Israel,neutral,2023-09-29
TSC,"A woman takes photos of mooncakes during a Mid-Autumn Festival themed event at the China Cultural Center in Tel Aviv, Israel, Sept. 27, 2023.",China,neutral,2023-09-29
TSC,Various celebrations are held across the world with the approaching of Mid-Autumn Festival.,US,neutral,2023-09-29
TSC,(Xinhua/Chen Junqing) ,UN,neutral,2023-09-29
TSC,"A person practices Chinese calligraphy during an event celebrating the Mid-Autumn Festival held by the Confucius Institute at the University of Latvia in Riga, Latvia, Sept. 25, 2023.",US,neutral,2023-09-29
TSC,"A person practices Chinese calligraphy during an event celebrating the Mid-Autumn Festival held by the Confucius Institute at the University of Latvia in Riga, Latvia, Sept. 25, 2023.",UN,neutral,2023-09-29
TSC,Various celebrations are held across the world with the approaching of Mid-Autumn Festival.,US,neutral,2023-09-29
TSC," 

Saudi ambassador to Palestine Naif bin Bandar Al-Sudairi speaks during a joint press conference at the Palestinian foreign ministry headquarters in the West Bank city of Ramallah, on Sept. 26, 2023.(Photo: Xinhua) 



 ",Palestine,neutral,2023-09-27
TSC," 

Saudi ambassador to Palestine Naif bin Bandar Al-Sudairi speaks during a joint press conference at the Palestinian foreign ministry headquarters in the West Bank city of Ramallah, on Sept. 26, 2023.(Photo: Xinhua) 



 ",West,neutral,2023-09-27
TSC," 

Saudi ambassador to Palestine Naif bin Bandar Al-Sudairi speaks during a joint press conference at the Palestinian foreign ministry headquarters in the West Bank city of Ramallah, on Sept. 26, 2023.(Photo: Xinhua) 



 ",West Bank,neutral,2023-09-27
TSC,"The first Saudi ambassador to Palestine Naif bin Bandar Al-Sudairi arrived in the West Bank on Tuesday, the official Palestinian news agency WAFA reported.",Palestine,neutral,2023-09-27
TSC,"The first Saudi ambassador to Palestine Naif bin Bandar Al-Sudairi arrived in the West Bank on Tuesday, the official Palestinian news agency WAFA reported.",West,neutral,2023-09-27
TSC,"The first Saudi ambassador to Palestine Naif bin Bandar Al-Sudairi arrived in the West Bank on Tuesday, the official Palestinian news agency WAFA reported.",West Bank,neutral,2023-09-27
TSC,"Leading an official delegation, Al-Sudairi, the non-resident ambassador to Palestine and non-resident consul general in Jerusalem, presented his credentials to Palestinian President Mahmoud Abbas at the presidency headquarters in Ramallah, it said.",Palestine,neutral,2023-09-27
TSC,"Leading an official delegation, Al-Sudairi, the non-resident ambassador to Palestine and non-resident consul general in Jerusalem, presented his credentials to Palestinian President Mahmoud Abbas at the presidency headquarters in Ramallah, it said.",US,neutral,2023-09-27
TSC,Al-Sudairi's arrival comes amid Israel's efforts to normalize relations with Saudi Arabia.,Israel,neutral,2023-09-27
TSC,Al-Sudairi's arrival comes amid Israel's efforts to normalize relations with Saudi Arabia.,Saudi Arabia,neutral,2023-09-27
