sentence_id,article_id,article_text,published_time,sentiment,NER,topic_id,topic_representation
000-000,000,"Russia President Vladimir Putin on Monday signed two decrees recognizing ""the Lugansk (LPR)"" and ""the Donetsk (DPR)"" as independent and sovereign states.",2022-02-23,neutral,"{'Russia': ('LOC', 1), 'Lugansk': ('LOC', 1), 'Donetsk': ('LOC', 1), 'Vladimir Putin': ('PER', 1), 'LPR': ('ORG', 1), 'DPR': ('ORG', 1)}",15,"['decrees', 'sovereign', 'signed', 'dpr', 'lpr', 'donetsk', 'putin', 'vcgrussia', 'decree', 'xinhua']"
000-001,000,Ukraine decided to recall its charge d'affairs in Russia and will reconsider its diplomatic relations with Russia.,2022-02-23,neutral,"{'Ukraine': ('LOC', 1), 'Russia': ('LOC', 2)}",51,"['reconsider', 'recall', 'dialogues', 'diplomatic', 'affairs', 'ukraine', 'prosecuted', 'channels', 'speaking', 'opposition']"
000-002,000,The sudden change in the Ukraine situation has aroused great concern around the world.,2022-02-23,positive,"{'Ukraine': ('LOC', 1)}",40,"['concern', 'ukraine', 'saudi', 'arabia', 'pandemic', 'crisis', 'kiev', 'dictatorship', 'sons', 'travellers']"
000-003,000,"In this regard, China State Councilor and Foreign Minister Wang Yi said on Tuesday that the legitimate security concerns of any country must be respected, and the purposes and principles of the UN Charter must be upheld.",2022-02-23,positive,"{'China': ('LOC', 1), 'Council': ('ORG', 1), 'UN': ('ORG', 1), 'Wang Yi': ('PER', 1), 'Charter': ('MISC', 1)}",-1,"['eu', 'ukraine', 'russia', 'crisis', 'nato', 'sanctions', 'eastward', 'political', 'global', 'wang']"
000-004,000,"He said China once again called on all parties to exercise restraint, appreciate the importance of implementing the principle of indivisible security, and de-escalate the situation and resolve differences through dialogue and negotiations.",2022-02-23,positive,"{'China': ('LOC', 1)}",-1,"['eu', 'ukraine', 'russia', 'crisis', 'nato', 'sanctions', 'eastward', 'political', 'global', 'wang']"
000-005,000,It should be noted that it is very regrettable that the Ukraine issue has evolved so far.,2022-02-23,negative,"{'Ukraine': ('LOC', 1)}",-1,"['eu', 'ukraine', 'russia', 'crisis', 'nato', 'sanctions', 'eastward', 'political', 'global', 'wang']"
000-006,000,"The US has continued its intensive containment on Russia, which finally forced Russia to try to realize its security demands in such a way.",2022-02-23,negative,"{'US': ('LOC', 1), 'Russia': ('LOC', 2)}",-1,"['eu', 'ukraine', 'russia', 'crisis', 'nato', 'sanctions', 'eastward', 'political', 'global', 'wang']"
000-007,000,This is the outburst of the dissatisfaction of the party whose security demands have been ignored for a long time since the end of the Cold War.,2022-02-23,negative,"{'Cold War': ('MISC', 1)}",32,"['senior', 'chongyang', 'dinggang', 'dissatisfaction', 'renmin', 'editor', 'daily', 'ignored', 'author', 'cn']"
000-008,000,The situation in Ukraine is deteriorating.,2022-02-23,neutral,"{'Ukraine': ('LOC', 1)}",16,"['deteriorating', 'factors', 'boris', 'diplomatic', 'ukraine', 'stable', 'supermarket', 'revising', 'telegraph', 'deadline']"
000-009,000,"At this time, the international community cannot discard its efforts for peace and to avoid further escalating the situation.",2022-02-23,positive,{},-1,"['eu', 'ukraine', 'russia', 'crisis', 'nato', 'sanctions', 'eastward', 'political', 'global', 'wang']"
